"Duration,""Start Time"",""Profile Name"",""Country"",""Bookmark"",""Latest Bookmark"",""Supplemental Video Type"",""Attributes"",""Device Type"",""Title""";;;
"00:00:03,""2026-01-17 11:39:20"",""Ryan"",""BR (Brazil)"",""00:00:03"",""00:00:03"","""",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 1: Bem-vindos (episódio 1)""";;
"00:00:19,""2026-01-17 11:35:02"",""Ryan"",""BR (Brazil)"",""00:00:19"",""00:00:19"",""TRAILER"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Temporada 7 (Trailer): Riverdale""";;
"00:00:02,""2026-01-17 09:25:09"",""Ryan"",""BR (Brazil)"",""00:13:32"",""00:13:32"","""",""Autoplayed: user action: User_Interaction";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""D1ÁR10S: Temporada 2: Episódio 3 (episódio 3)""";;
"00:00:31,""2026-01-17 02:17:36"",""Ryan"",""BR (Brazil)"",""00:00:31"",""00:00:31"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Clipe 3: Dinheiro Suspeito""";;
"01:58:59,""2026-01-16 18:40:54"",""Ryan"",""BR (Brazil)"",""01:58:59"",""01:58:59"","""","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Ascensão do Cisne Negro""";;;
"00:00:44,""2026-01-16 18:40:06"",""Ryan"",""BR (Brazil)"",""00:00:44"",""00:00:44"",""HOOK"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""SAS: Rise of the Black Swan - Upper Bound Clip 8""";;
"00:00:07,""2026-01-16 18:39:40"",""Ryan"",""BR (Brazil)"",""00:00:07"",""00:00:07"",""HOOK"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Outlander: Season 3_hook_primary_16x9""";;
"00:00:05,""2026-01-16 18:39:18"",""Ryan"",""BR (Brazil)"",""00:00:05"",""00:00:05"",""HOOK"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""True Beauty: Season 1_hook_04_16x9""";;
"00:00:06,""2026-01-16 18:39:08"",""Ryan"",""BR (Brazil)"",""00:00:06"",""00:00:06"",""TEASER_TRAILER"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Temporada 1 (Teaser): Mar Branco""";;
"00:00:08,""2026-01-16 18:36:18"",""Ryan"",""BR (Brazil)"",""00:00:08"",""00:00:08"",""HOOK"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Temporada 2 (Clipe): D1ÁR10S""";;
